measure_word_id,level,headword_vocab_id,headword_hanzi,pinyin,pinyin_numeric,meaning_en,review_status,source_id,notes
measure_3_0842_树,3,hsk26-v00842,树,shù,shu4,tree,legacy_unreviewed,legacy-runtime,
measure_3_0850_糖,3,hsk26-v00850,糖,táng,tang2,sugar; sweets,legacy_unreviewed,legacy-runtime,
measure_3_0854_体育馆,3,hsk26-v00854,体育馆,tǐyùguǎn,ti3yu4guan3,gym; gymnasium,legacy_unreviewed,legacy-runtime,
measure_3_0863_图书馆,3,hsk26-v00863,图书馆,túshūguǎn,tu2shu1guan3,library,legacy_unreviewed,legacy-runtime,
measure_3_0864_腿,3,hsk26-v00864,腿,tuǐ,tui3,leg,legacy_unreviewed,legacy-runtime,
measure_3_0867_外语,3,hsk26-v00867,外语,wàiyǔ,wai4yu3,foreign language,legacy_unreviewed,legacy-runtime,
measure_3_0869_碗,3,hsk26-v00869,碗,wǎn,wan3,bowl,legacy_unreviewed,legacy-runtime,
measure_3_0871_晚会,3,hsk26-v00871,晚会,wǎnhuì,wan3hui4,evening party,legacy_unreviewed,legacy-runtime,
measure_3_0872_网球,3,hsk26-v00872,网球,wǎngqiú,wang3qiu2,tennis; tennis ball,legacy_unreviewed,legacy-runtime,
measure_3_0877_卫生间,3,hsk26-v00877,卫生间,wèishēngjiān,wei4sheng1jian1,bathroom; toilet,legacy_unreviewed,legacy-runtime,
measure_3_0878_文化,3,hsk26-v00878,文化,wénhuà,wen2hua4,culture; civilization,legacy_unreviewed,legacy-runtime,
measure_3_0879_屋子,3,hsk26-v00879,屋子,wūzi,wu1zi,house; room,legacy_unreviewed,legacy-runtime,
measure_3_0883_西瓜,3,hsk26-v00883,西瓜,xīguā,xi1gua1,watermelon,legacy_unreviewed,legacy-runtime,
measure_3_0885_习惯,3,hsk26-v00885,习惯,xíguàn,xi2guan4,habit; to be used to,legacy_unreviewed,legacy-runtime,
measure_3_0887_洗衣机,3,hsk26-v00887,洗衣机,xǐyījī,xi3yi1ji1,washing machine; washer,legacy_unreviewed,legacy-runtime,
measure_3_0889_夏天,3,hsk26-v00889,夏天,xiàtiān,xia4tian1,summer,legacy_unreviewed,legacy-runtime,
measure_3_0891_香蕉,3,hsk26-v00891,香蕉,xiāngjiāo,xiang1jiao1,banana,legacy_unreviewed,legacy-runtime,
measure_3_0893_箱子,3,hsk26-v00893,箱子,xiāngzi,xiang1zi,suitcase; chest,legacy_unreviewed,legacy-runtime,
measure_3_0900_校长,3,hsk26-v00900,校长,xiàozhǎng,xiao4zhang3,president; headmaster,legacy_unreviewed,legacy-runtime,
measure_3_0901_鞋,3,hsk26-v00901,鞋,xié,xie2,shoe,legacy_unreviewed,legacy-runtime,
measure_3_0903_新年,3,hsk26-v00903,新年,xīnnián,xin1nian2,New Year,legacy_unreviewed,legacy-runtime,
measure_3_0904_新闻,3,hsk26-v00904,新闻,xīnwén,xin1wen2,news,legacy_unreviewed,legacy-runtime,
measure_3_0906_信,3,hsk26-v00906,信,xìn,xin4,letter; to believe,legacy_unreviewed,legacy-runtime,
measure_3_0909_行李,3,hsk26-v00909,行李,xíngli,xing2li,luggage,legacy_unreviewed,legacy-runtime,
measure_3_0910_兴趣,3,hsk26-v00910,兴趣,xìngqù,xing4qu4,interest; hobby,legacy_unreviewed,legacy-runtime,
measure_3_0915_学期,3,hsk26-v00915,学期,xuéqī,xue2qi1,term; semester,legacy_unreviewed,legacy-runtime,
measure_3_0916_牙,3,hsk26-v00916,牙,yá,ya2,tooth; ivory,legacy_unreviewed,legacy-runtime,
measure_3_0917_牙刷,3,hsk26-v00917,牙刷,yáshuā,ya2shua1,toothbrush,legacy_unreviewed,legacy-runtime,
measure_3_0918_羊,3,hsk26-v00918,羊,yáng,yang2,sheep; goat,legacy_unreviewed,legacy-runtime,
measure_3_0920_要求,3,hsk26-v00920,要求,yāoqiú,yao1qiu2,to require; request,legacy_unreviewed,legacy-runtime,
measure_3_0935_音乐,3,hsk26-v00935,音乐,yīnyuè,yin1yue4,music,legacy_unreviewed,legacy-runtime,
measure_3_0936_银行,3,hsk26-v00936,银行,yínháng,yin2hang2,bank,legacy_unreviewed,legacy-runtime,
measure_3_0940_影响,3,hsk26-v00940,影响,yǐngxiǎng,ying3xiang3,influence; effect,legacy_unreviewed,legacy-runtime,
measure_3_0944_游戏,3,hsk26-v00944,游戏,yóuxì,you2xi4,game; to play,legacy_unreviewed,legacy-runtime,
measure_3_0951_语言,3,hsk26-v00951,语言,yǔyán,yu3yan2,language,legacy_unreviewed,legacy-runtime,
measure_3_0952_雨衣,3,hsk26-v00952,雨衣,yǔyī,yu3yi1,raincoat,legacy_unreviewed,legacy-runtime,
measure_3_0960_运动会,3,hsk26-v00960,运动会,yùndònghuì,yun4dong4hui4,sports competition,legacy_unreviewed,legacy-runtime,
measure_3_0961_运动员,3,hsk26-v00961,运动员,yùndòngyuán,yun4dong4yuan2,athlete,legacy_unreviewed,legacy-runtime,
measure_3_0972_照片,3,hsk26-v00972,照片,zhàopiàn,zhao4pian4,photograph; picture,legacy_unreviewed,legacy-runtime,
measure_3_0976_纸,3,hsk26-v00976,纸,zhǐ,zhi3,paper,legacy_unreviewed,legacy-runtime,
measure_3_0990_字典,3,hsk26-v00990,字典,zìdiǎn,zi4dian3,character dictionary,legacy_unreviewed,legacy-runtime,
measure_3_0991_自行车,3,hsk26-v00991,自行车,zìxíngchē,zi4xing2che1,bicycle; bike,legacy_unreviewed,legacy-runtime,
measure_3_0995_嘴,3,hsk26-v00995,嘴,zuǐ,zui3,mouth,legacy_unreviewed,legacy-runtime,
measure_3_1000_作业,3,hsk26-v01000,作业,zuòyè,zuo4ye4,school assignment; homework,legacy_unreviewed,legacy-runtime,
