grammar_pattern_id,grammar_lesson_id,grammar_element_id,pattern_order,label_en,pattern,formation_en,usage_en,review_status,notes
gpattern_9cf55261b7ac4bb1b66ca6541f2c75db,glesson_bee3f7b4aa384c42b6795c0adb6d56f9,gelement_941c3e6fc9b3421ca7716606d925e807,1,Understood head noun,Modifier + 的,End the modifier with 的 and omit the noun that context already identifies.,Means 'the one(s) that...' or 'the ... one(s).',approved,
gpattern_65428227d3ee47a8af206bf15ae8f01f,glesson_5de2d33fd67d4f0ea3f7855d4e242d82,gelement_d1d79e441cdb4fc484421ba3e52aaee0,1,Shared-subject action sequence,Subject + Verb phrase 1 + Verb phrase 2,Place the verb phrases in their natural sequence without a conjunction.,"Expresses movement plus purpose, means plus destination, or another close action sequence.",approved,
gpattern_17bf3dbd058f4ffe8f9c76b79611d798,glesson_6d88ea2c75964933848765ca878452de,gelement_1904386d850149f58af0449d56b79cb2,1,Shared middle participant,Verb 1 + Person + Verb 2,Put the person after the requesting or causative verb and before the action that person performs.,Links the first verb to a second action carried out by its object.,approved,
gpattern_229d05349220450aa9b6e664235e91dc,glesson_e3981bef253e46c48e9f20daecf6002f,gelement_640ac4b94dde4825bf27033ae611532e,1,Non-exhaustive list,Example A、Example B + 什么的,Place 什么的 after one or more representative list items.,Signals that the list is illustrative rather than complete.,approved,
gpattern_3dcce99fa2f941dd90ae31d348f27d51,glesson_1c115b4f31ce47338c90eacee08d91c1,gelement_279457444c29492ab43923a4248efe4e,1,Preferred recommendation,Subject + 还是 + Predicate + 吧,Place 还是 before the recommended action and 吧 at sentence end.,Presents the action as the sensible choice while softening the advice.,approved,
gpattern_3a1f8f441f10434bbbca9e935f7d619c,glesson_05bde99c7379415a9e1067abc6f1e4ce,,1,Approaching change,要/快要/就要 + Event + 了,Put the imminence marker before the event and 了 at the end of the clause.,Presents the event as close to becoming the new reality.,approved,
gpattern_c5c75827affe4e15bdaaa011b3a4b70f,glesson_5029adfdc6f545af98383219c99bfa91,gelement_6b1222ef97c94147b339af4bff30c468,1,Reached threshold,都 + Reached point/Predicate + 了,Place 都 before the emphasized point and 了 at the end of its clause.,Draws attention to the fact that the threshold is already current.,approved,
gpattern_5b87735d26534052b0a91442dbd3e11c,glesson_badca6da43d5461281a859c1d488ba49,gelement_e4018ddfa0cd441bb774f186ddeed945,1,Affected subject,Patient + Verb + Result,Place the affected entity before a predicate describing what has happened to it.,Focuses the resulting state without naming an agent.,approved,
gpattern_c8090c595ad4489989315035d07923e7,glesson_9ef8d5cea59d47638f54e8f4a61765e1,gelement_fef70314bdef441985283bcce355cf4f,1,Direct nominal predicate,Subject + Nominal phrase,Place the nominal expression directly after the subject without 是.,"States a calendar, age, quantity, or similarly classifying fact.",approved,
gpattern_d7ebc3c5172440caa4be3d8a89015a23,glesson_8f0d645b2a3f4c93abb66903f3c5558f,,1,Clause-like noun modifier,Verbal/Subject-predicate phrase + 的 + Noun,Place the complete modifier before 的 and the noun it identifies.,Selects the noun through an associated action or proposition.,approved,
gpattern_ba118ee121bc410b90795709f48036c2,glesson_47f3b0ed04bf4a36a6956dd0695c632a,,1,Verb plus achieved result,Verb + 错/懂/好/会/完,Place the result complement immediately after the action verb.,States what result the action reaches.,approved,
gpattern_a78b5d6de9f04ed7a8551a810f1efc1c,glesson_01b862ef28b441d2bc831c4224c8cc4a,,1,Viewpoint direction,Verb + 来/去,Add 来 for motion toward the viewpoint or 去 for motion away from it.,Locates the action relative to the speaker or contextual reference point.,approved,
gpattern_52015cd00d694d50b773b2f9583e90c4,glesson_f31d698d638445f1a9feb41d157fe04b,,1,Basic path after a verb,Movement verb + 上/下/进/出/过/回,Place the path complement directly after the movement verb.,Adds the action's path without yet encoding toward-versus-away viewpoint.,approved,
gpattern_93c7b4c44574493bb50ef263f7c17d72,glesson_ee41e6416f824d27b1eb8c57691de21b,,1,Path plus viewpoint,Movement verb + Path + 来/去,"Choose the path component, then use 来 for motion toward the viewpoint or 去 for motion away.",Combines route and conversational direction in one complement.,approved,
gpattern_957a9e4ec7734018a3303363c6f7e90c,glesson_ede1b62f33a6494a85014b585331b428,gelement_f20413b33ca648bb9437b521445fbdf4,1,Performance description,Verb + 得 + Adjectival phrase,Put 得 after the action verb and the adjectival description after 得.,"Evaluates the action's manner, state, or degree.",approved,
gpattern_5a0a966f36c7449babed3bfffd1397d5,glesson_c3771e2abd7742728367260732b013c7,gelement_2c5bdf526e7047618c177f6140977530,1,Action duration,Verb + 了 + Duration,Place the duration after the verb and its aspect marker when the event is realized.,Measures the span for which the action lasts.,approved,
gpattern_77dcf35373c2429aafa0b3ea86d537cb,glesson_ffbf32e9af2f483ea949c0ad313f0001,gelement_48620483fc8145edb5eb3d02b3217f8c,1,Measured property,Adjective + Quantity,Place the quantity immediately after the adjective.,States how much the property differs or reaches.,approved,
gpattern_f95f13882fab49e7ac558461a113152e,glesson_a6853982d0af406fa888be25a7d45bd3,gelement_6ffeac848dac4e2da9daf45fc56ed1ef,1,Topic plus internal description,Topic + [Subject + Predicate],"State the overall topic, then use a smaller subject-predicate phrase to describe one of its aspects.",Organizes a description from whole topic to relevant part or property.,approved,
gpattern_9d78f483c8bf467d9a9f230baf5b9746,glesson_52acdf2be231401cb6641db150ed1b78,gelement_25c9b342926a4a299d92ab6095269431,1,Choose A or B,Alternative A + 还是 + Alternative B？,Put 还是 between two parallel alternatives and use question intonation.,Requests selection rather than a yes-or-no judgment.,approved,
gpattern_70b7746495ac4cba9627107bbf4b040e,glesson_b26122dc1f28458583e65e8d71623385,gelement_561315d689db421f8a699f41cc60b434,1,Negative instruction,(Subject) + 别 + Verb phrase,Place 别 immediately before the action the listener should avoid.,Forms a direct negative request or command.,approved,
gpattern_d30f2c59345e41b2a117064ebce0ce4f,glesson_a35f4c8b3a7545ddbd5495e9946d2dd3,gelement_28aabe7bff214fa0ab4587e21b671bb6,1,Nominal characterization,Subject + 是 + Descriptive nominal phrase,Put 是 between the subject and a noun-like expression that explains its characteristic.,Classifies or describes what kind of thing the subject is.,approved,
gpattern_e14583e21c344f4e87c01efafc17f07b,glesson_a7c3f16190ef479f9dc90866f0f19fd3,gelement_f873ce5f6edd43468779fa5aa0b26a4e,1,Quantity attained so far,Event/Situation + 有 + Quantity (+ 了),Place 有 before the reached quantity; add final 了 when relating the attained duration to now.,States the amount or duration that the situation has reached.,approved,
gpattern_3cb45bf5c9bd460998ac4922686f49fe,glesson_8406c000714148ed93355a655ae380e4,gelement_52fb499cc37c46d2a02912fe432a7996,1,Entity present at a location,Place + Verb + 着 + (Numeral-Measure) + Noun,"Begin with the place, add the posture or state verb plus 着, then introduce the entity.",Presents what is found at the location and how it is situated.,approved,
gpattern_e4bb54c8c3054411b8d6b616273a90ca,glesson_8cd3774517fc4724be7340812ecbe749,gelement_3bf83e2c2d86457e911a43f99b620856,1,Greater property,A + 比 + B + Adjective,Place 比 and the comparison standard B before the adjective.,States that A exceeds B in that property.,approved,
gpattern_259c46f9d7b544358a5cba3bc9206577,glesson_3eb252ea7d424841a3152d08aa6cc546,,1,Specified comparison gap,A + 比 + B + Adjective + Quantity/Degree complement,"Build the basic 比 comparison, then place the measuring complement after the adjective.",Makes the size of the difference explicit or approximate.,approved,
gpattern_862991ea1aff49748adc23d993bb618f,glesson_6ef576543f8541009ddc1864bf774cfb,,1,Reach a comparison standard,A + 有/没有 + B (+ 这么/那么) + Adjective,"Place 有 or 没有 before B, optionally add the degree demonstrative, then state the property.",Expresses equality or failure to reach B's degree.,approved,
gpattern_6ecfc3d6ab694346b6bb8c7d98930715,glesson_0d882781e8774e09858c603addc4ffee,gelement_ee8b5fc768a146538b300291ec1fef63,1,比 phrase before the verb,A + 比 + B + Verb + 得 + Adjective,"Place the comparison standard before the verb, then use 得 to describe performance.",Compares how A and B perform the same action.,approved,
gpattern_8ed6086d43f9435baf652b7d20a2c630,glesson_0d882781e8774e09858c603addc4ffee,gelement_607816881e08407ab1143010be6945f4,2,比 phrase after 得,A + Verb + 得 + 比 + B + Adjective,"State A's verb first, then place 比 B inside the 得-complement.",Gives the same performance comparison with a different information order.,approved,
gpattern_a18d063284fb4f7cbfdde466b0dcaa0a,glesson_ffe80b1988b84769a16676ccb04b2e61,,1,Focused event circumstance,Subject + 是 + Focus + Verb + 的,Place 是 before the focused circumstance and 的 after the event predicate.,Contrasts one event detail while presupposing the event occurred.,approved,
gpattern_46fdc746297a4e9fa709c0b6ce912db7,glesson_1498a4583ff14c99892cf06f0b72f6e6,,1,Person caused or requested to act,Subject + 请/叫/让 + Person + Verb + Object,Put the acting person after the requesting or causative verb and before that person's action.,Varies from polite request to instruction or permission/causation.,approved,
gpattern_bdbb2a1fd185490b961481417a2b3edc,glesson_993586dc6e8f4916b41298d63695c08d,gelement_c1a203e4330b43c4bddb0f30aa27c1f1,1,Transfer to a recipient,Subject + Verb + 给 + Recipient + Thing,"Attach 给 to the transfer verb, then place the recipient before the transferred thing.",Expresses who receives what through the action.,approved,
gpattern_94d877f7ad804067ad8b2bbcdd6c7570,glesson_68db8b2f6deb4411af949bf10e1bb513,gelement_52dff1b816fc4186b47164050d588249,1,Choice between situations,(是) + Clause A，还是 + Clause B？,"State the first possibility, optionally with 是, and introduce the second with 还是.",Requests a choice between two full situations or actions.,approved,
gpattern_5b20381ecfdf4b9f8cc4dbab4ce2a319,glesson_03c64f5939e34fb5ae2e9318a50693cf,gelement_07f6f9c53eb740d6bdb204affcecbfd2,1,Conceded fact and contrast,虽然 + Clause A，但是 + Clause B,Put 虽然 before the conceded clause and 但是 before the contrasting main clause.,Shows that Clause B holds despite Clause A.,approved,
gpattern_9b92b8932b9940a7bf6e49574e36ba37,glesson_cd8a7497afe54bbeb49b0343599ed9ec,gelement_62429daf4f0e48ebadf5f0943a3aff37,1,Cause and consequence,因为 + Cause，所以 + Result,Put 因为 before the cause clause and 所以 before the result clause.,Makes the causal relation between two clauses explicit.,approved,
gpattern_f5ccdff5a0104f2e84527b9b6a1c2219,glesson_6f0127d426cf4bf68701631287733166,gelement_66a196caf5924814a2a9987d7977109f,1,Immediate trigger and result,一 + Trigger，就 + Result,Place 一 before the trigger predicate and 就 before the following result predicate.,Links the result tightly and promptly to the trigger.,approved,
gpattern_b6d17c0a55164ebf85971ab510d8cff0,glesson_8ff45e3161d942abb8dd0470128fe4d5,gelement_ba4ce89d17f84f10985cb91de9042fd5,1,State kept in effect,State/Posture verb + 着,Place neutral-tone 着 after the verb naming the maintained state or posture.,Presents the state as continuing at the reference time.,approved,
gpattern_f376db5971d647aeb1af29f977cb137f,glesson_5e4c4bb2dc1543c1b1e7afbef39ca393,gelement_60a93714d5fa46e9a4f97b7ed95263d6,1,Activity in progress,Activity verb + 着,Place neutral-tone 着 after the activity verb.,Keeps the activity ongoing through the reference interval.,approved,
gpattern_787768cabaec4953aa86f92522789439,glesson_850e51837bbb4d249c84d673457cb2e1,gelement_22aa81ea1aa5438c895774eeab07df05,1,Have ever done,Subject + Verb + 过 (+ Object),Place neutral-tone 过 after the experienced action.,Adds the action to the subject's prior experience.,approved,
gpattern_6636aecbe2d847a7ba8645fc67feebbc,glesson_e77d15c96ede4ed4b4125715ee306f3a,gelement_19872b7c2d5149a98b5cf6a9d381431a,1,Numbered position or label,Numeral + Measure/Label,"Put the numeral directly before a conventional floor, date, or label unit.",Identifies order when the context supplies an ordered series.,approved,
gpattern_e26e6ac3c6c4409c9347b16cff5fd8ff,glesson_00381ffa4caf46d8a88816e5c574b3e9,gelement_83073577ae7a4b5ea442041934c1a3dd,1,Small approximate count,几 + Measure + Noun,Put 几 before the measure word and optional noun.,Leaves a small count intentionally inexact in a declarative context.,approved,
gpattern_7c8d2c01dfeb40768c4e5a32950589f5,glesson_dd80611de9834c14b69a9d00ac756445,gelement_a1ebf609b8c6474094c7e588cd6587e4,1,Just over a round count,Round numeral + 多 + Measure + Noun,Put 多 after the round numeral and before the classifier or measure.,Leaves the exact amount unspecified above that round number.,approved,
gpattern_8928e74c94914c79aaf4e6610aa83a67,glesson_237b83ef82744366b4ac454c615a734f,gelement_697a74270a6e4e59bd9c6f11f8d9d084,1,More than whole units,Numeral + Measure + 多 (+ Noun),Place 多 after the measure unit and before any following noun.,States the completed whole units plus an unspecified amount short of the next unit.,approved,
gpattern_e242280471654454a40cc9cfb49c1fa1,glesson_6e7cfe6abe734612a4e5a72de1210257,gelement_ba81934ad1d6410b92ee5ebd11107f9b,1,Familiar relationship,老 + Human relationship noun,Place 老 directly before a suitable human noun.,Presents the relationship as established or familiar.,approved,
gpattern_d1e51b55295945039578bbb012702164,glesson_32471e0e6d8446e5baff7c10a29196dd,,1,Derived noun,Base + 家/子/员,Attach the selected suffix directly to its conventional base.,Creates an established label for a person or thing.,approved,
gpattern_6ec72a2fd2ef4aa1ac4d0b8e75d575ea,glesson_867901eb059049e79b6ff537b4ab9bed,gelement_eb12509fd4be40eebccbab586ecfbb44,1,Method or condition question,Subject + 怎样 + Verb / Subject + 怎样,Place 怎样 before the action or in the descriptive position being questioned.,Requests a method or asks what a situation is like.,approved,
gpattern_7ed300a5c4ec45c1bdb7f51c1207c70a,glesson_5d546dc5765a4b47a1819003e41f0888,gelement_41da070096544d089b7d6d78de1289ae,1,Question word plus 都,Question word + 都 + Predicate,Place 都 after the question-word expression.,"Includes every possible person, thing, place, or manner.",approved,
gpattern_580526ccb9804458bd1686ebc09d9c87,glesson_5d546dc5765a4b47a1819003e41f0888,gelement_c363287d212b4c6f9faef97ba833d34e,2,Matching question words,"Question word + Condition, Question word + Result",Repeat the same question word in the corresponding positions.,Lets each unrestricted choice determine the matching result.,approved,
gpattern_d9ad3b71a2c243d081238bee3f7c3d16,glesson_bea2dc463fb3437fac779d881872add9,gelement_fa04af9325054196b0534b53127a915d,1,Indefinite reference,Verb / Modal + Question word,Use the question word in an ordinary statement position.,Leaves the referent unspecified rather than requesting an answer.,approved,
gpattern_f899e9b4d0f549fcbc26fe154f6ca0be,glesson_67af68618b554c8e8f28c44bd041bfce,gelement_6f42f200307e4783b14f217719534103,1,Each and every,Measure word + Measure word (+ Noun) + Predicate,"Repeat the measure word directly, with the noun optionally following.",Applies the predicate separately to every member of the set.,approved,
gpattern_b5aec2984f1c4d7c80bcbdc6f3ffd745,glesson_5fb2d0bf9f384280a2d05a727fbc624e,gelement_b1fc9c2e0787479a9389fb8b4ce6754f,1,Two concurrent actions,一边 + Verb 1 + 一边 + Verb 2,Put 一边 immediately before each action.,Shows that the same subject performs both actions at the same time.,approved,
gpattern_34006fed280749fd977182c84906a2b0,glesson_69679885521946b7a6801b6ca1c2716d,,1,No necessity,Subject + 不必/不用 + Verb,Place the expression directly before the action.,States that performing the action is optional or unneeded.,approved,
gpattern_3faafcaf5a5747e38bb16dc359d3647a,glesson_0ca9c57f33894bcc9dfd898fbacfaf78,gelement_1444f9d43edd472ea734adc3a9f48d05,1,Beneficiary,为 + Person + Verb,Place 为 and its beneficiary before the action.,Identifies who benefits from or motivates the action.,approved,
gpattern_e231297df0674758853c695530f246ee,glesson_0ca9c57f33894bcc9dfd898fbacfaf78,gelement_f4e43c2ca48747ac88d5f88cbfffa49d,2,Addressee or target,向 + Person/Organization + Verb,Place the 向 phrase before the directed action.,Directs communication or another action toward a target.,approved,
gpattern_c3292ca283964170bcab183f0ead5fd2,glesson_0ca9c57f33894bcc9dfd898fbacfaf78,gelement_cfbdeaa073b140fd9cab069ba21f3e3a,3,Topic,关于 + Topic,Put 关于 before the topic phrase.,"Frames what a statement, question, or discussion concerns.",approved,
gpattern_d9ec778a628a473597e5b85101326a37,glesson_309a16f37538472988dbe46293b62779,gelement_df1fbe382fb84482a314e315030445a4,1,Movement direction,Subject + 向 + Direction/Place + Movement verb,Place the 向 phrase before the movement verb.,Identifies the direction in which movement proceeds.,approved,
gpattern_10d1193881ff4b278b7a991802c4065a,glesson_c8f640cc55c34c5ebcf4f8c68c0f9a83,gelement_70cbbc40082e482dbd784f231cc5278e,1,Intended purpose,"为了 + Goal, Main action",Place the purpose phrase before the action undertaken to achieve it.,Explains the goal motivating the main action.,approved,
gpattern_cac3cc7f08514597913f147bc68da036,glesson_c8f640cc55c34c5ebcf4f8c68c0f9a83,gelement_93b9e1306d154cc4bec3645302024ebb,2,Reason or concern,为 + Person/Thing + Predicate,Place the 为 phrase before the emotion or response.,Names what prompts that response.,approved,
gpattern_badaadf981ec4491b64410a473dfe32b,glesson_65181384815e48bb8984cea0ad0c86e5,gelement_007f0fb5973144e282757aad5f0a2536,1,Disposal construction,Subject + 把 + Object + Verb + Outcome,Place the specific affected object after 把 and before the predicate.,Highlights what happens to that object.,approved,
gpattern_5316ccfa7fd3469bae5628b2b350bcc7,glesson_65181384815e48bb8984cea0ad0c86e5,gelement_59b7dc0da93c4098b57f64528563d687,2,Passive construction,Patient + 被 (+ Agent) + Verb + Outcome,Put 被 after the patient and the optional agent after 被.,Presents the event from the affected participant's perspective.,approved,
gpattern_003012e9d0464011abd6f10081a0be83,glesson_f8df5d8520dc416f90cc4c5f48366344,gelement_f3240b07865e46ddbb06aeb4b6803066,1,Stated basis,"根据 + Basis, Statement/Action",Put 根据 before the source or evidence.,Frames the following statement or action as grounded in that basis.,approved,
gpattern_944b2d60b6a544a8960b13bc59fabfbd,glesson_00d57d729c7f4d23b440054ccc241d9b,gelement_53754289cd2f46e397378fa2472ec0e1,1,Condition marked at the end,"Condition + 的话, (就) + Result",Place 的话 after the complete condition clause.,Makes the first clause the condition for the result or response.,approved,
gpattern_c50daeac304f437ead80ed3643c0ff1b,glesson_56c56a08a83a4a9fba7fb8f8edeac19e,gelement_320854760ffb48ee8264655af2896bf0,1,One unit at a time,Number + Measure + Number + Measure (+ 地) + Predicate,Repeat the same number-measure phrase directly.,Distributes an action across units or presents gradual unit-by-unit change.,approved,
gpattern_7f262371a8a44023a917140d20324948,glesson_c74f97e80cba4f0396cdf394f34eff1e,gelement_6f44b3d791b24f4a87edacdccc2e3c82,1,Neither extreme,不 + A + 不 + B,Place 不 before each of two contrasting adjectives.,Presents the subject as moderate between the two extremes.,approved,
gpattern_0888bdb9e8ea4466a419d2a0b9a442b3,glesson_5f19781ab8ae438e8b3b96ed0eeba473,gelement_1c7230ad25f6486e96312302fdde428c,1,Brief interval,"不一会儿, Event",Use 不一会儿 as a time expression before the event it frames.,Emphasizes that the following event occurs soon.,approved,
gpattern_d8d1b2e439bc461ab383c54f1cf92f5a,glesson_b0577291ea834c2d9ab205ab44afb00d,gelement_c10ef5873de24d8db9d452975b223aa2,1,Speaker's inference,看来 + Conclusion,"Put 看来 before the conclusion, often at the start of the sentence.",Signals that the conclusion is inferred rather than presented as certain fact.,approved,
gpattern_c80a66ceb3d84ef6b816fc19d3fdb4c6,glesson_17ce2c91cf0744cc88bc0f91363fc43c,gelement_6bf081eac2bc4b9f9f719fd5d6df9c25,1,Named viewpoint,"在 + Person/Group + 看来, Statement",Place the viewpoint holder between 在 and 看来.,Limits the following judgment to that person's or group's perspective.,approved,
gpattern_b1ce5eeeffde425884ba864a9be49460,glesson_f7e879eb77834d0b821cb273f009fb0a,gelement_47abfabaa67b4ad0a2f478e4871ef423,1,Increasing trend,Subject + 越来越 + Adjective/State,Place 越来越 directly before the changing quality or state.,Shows that the degree develops progressively as time passes.,approved,
gpattern_2bd8c23d9b014208bf99bd2eb631883c,glesson_a1dfe076faec4624ad1920ecf040d0c6,gelement_a185f429371c488d93e3bbde7a593377,1,Overall impression,Subject + 看起来 + Description,Place 看起来 before the description inferred from the impression.,Presents the description as how the subject seems rather than as an unqualified fact.,approved,
gpattern_9ed41d0684c94cdb8c01a99de1c09feb,glesson_f069e89cffa64b04ae56201517efa1f1,gelement_eb212b508b664b02a1ee7873e23eaa7a,1,Visual appearance,Subject + 看上去 + Description,Place 看上去 before the visually based description.,Marks the description as an appearance perceived by sight.,approved,
gpattern_700618aa0a2e46daabd7ab9b0612adfc,glesson_6846bb8213774651a3a0fc6f7ac335d6,gelement_0b1f7b486ae6444890b337adba2bf3de,1,General frame,"一般来说, General statement",Place 一般来说 before the statement being generalized.,Signals that the statement describes a normal tendency rather than every exception.,approved,
gpattern_283652cf6a8a49068d1c8646f15eef69,glesson_316c9bec0f684aa884fe3be17c0d0fa8,gelement_850f28d2a3504ab5a2004685f97d096c,1,Mildly negative assessment,Subject + 不怎么样,Place 不怎么样 after the topic or subject being assessed.,Gives a restrained negative judgment about quality or condition.,approved,
gpattern_9a1209be698c4f6385e8ed5cba7ac2e5,glesson_9d70695e91ed42b9a1bf70af3cbe7279,gelement_b593ad6687b0413faf704ba8d6d1d2db,1,Addition with 还,"除了 + X + 以外, Subject + 还 + Y","Frame X with 除了 and optional 以外, then introduce added information with 还.",Includes X and adds a further fact.,approved,
gpattern_d8e5f1cedd1f4665aff24e1953b9add0,glesson_9d70695e91ed42b9a1bf70af3cbe7279,gelement_f1555abcd4eb4814860610ef71e185b0,2,Addition with 也,"除了 + X + 以外, Subject + 也 + Y",Frame X first and place 也 before the additional predicate.,Says the additional fact is also true.,approved,
gpattern_fda5a665065f4a1f951867c127c805e7,glesson_9d70695e91ed42b9a1bf70af3cbe7279,gelement_bae318df2c144cc5a1c00142d48e84e7,3,Exception with 都,"除了 + X, Rest of group + 都 + Predicate",Name X after 除了 and use 都 with the remaining group.,Excludes X while applying the predicate to all remaining members.,approved,
gpattern_7f7373ba86384e068d145c96963df986,glesson_2de4d47ffc894d33bc269b63cecd62ef,gelement_12528e5cd0ad47dba52aee44cc980010,1,Starting point,"从 + Time/Place + 起, Continuing situation",Place the starting point between 从 and 起.,Establishes where or when a new continuing situation begins.,approved,
gpattern_7fde256cde6b4d97a658375997dcc187,glesson_86ade8b4e22942ec899e79e4ec99da30,gelement_eee7113bbf6c426299934582410ee815,1,Relevant perspective,"对 + Person/Topic + 来说, Statement",Place the relevant person or topic between 对 and 来说.,Limits the following statement to how it applies from that perspective.,approved,
gpattern_afec16ff4ca1420a855daef1aa0ee646,glesson_dfd078bbb2674897a0fe8cbec750e3bb,,1,Complete negation,一 + Measure/Noun + 也/都 + 不/没 + Predicate,Place 也 or 都 after the minimal quantity and negate the following predicate.,"Extends the negation to the smallest possible member or amount, producing an emphatic zero.",approved,
gpattern_cb72d3fe7b9c469e9c3ec1f232daa522,glesson_6baf35e486cf4338aa6637ee28bd8262,gelement_417a9948182e473297f72193d90c2a98,1,Zero degree,Subject + 一点儿也不 + Adjective/State,Place 一点儿也不 directly before the negated quality or state.,Denies that the quality exists to any degree.,approved,
gpattern_b88b420efa53466a9f2ed7cefdd9ae4c,glesson_6c2cdcd62e104b80b2eb3873a2b2787e,gelement_f7646c8cff5e413d93f9c070202ec595,1,Correlated change,"Subject 1 + 越 + Condition, Subject 2 + 越 + Result",Put 越 before both changing predicates.,Links the degree of the second change to the degree of the first.,approved,
gpattern_8b8979636f544529b5ff89ddba41112e,glesson_31d755e440e645e5b0c80f741acaea2c,,1,Before or after a reference,(在) + Reference + 以前 / Reference + 以后,Place the reference expression before 以前 or 以后; 在 is optional in suitable time frames.,Locates another event on the earlier or later side of that reference.,approved,
gpattern_91f6c97012bc46149654a3e326b31620,glesson_31d755e440e645e5b0c80f741acaea2c,,2,Compact before or after phrase,Time/Event + 前/后,Attach 前 or 后 directly after a compact reference expression.,Creates a time phrase meaning before or after that reference.,approved,
gpattern_db82bd91b158424f8fd1ebda7da2fcaf,glesson_dcc7fa1a622346d5a68dd65fad261172,gelement_abbfc84ad8e24ad8883dd16bbd1ff9c5,1,Rhetorical challenge,Verb/Adjective + 什么 + (啊),Place 什么 after the challenged action or quality; 啊 is optional.,Questions the point of that action or attitude rather than requesting its identity.,approved,
gpattern_9826cc8d989a449d9b2b32cb4aaa6175,glesson_79689c9fb74747b391ce575ac4167555,gelement_ee7813a801c14746ab850359c626953b,1,Appropriate time reached,Subject + 该 + Action + 了,Put the due action between 该 and sentence-final 了.,Signals that circumstances have changed and the action is now due.,approved,
gpattern_8442a6271a6a4224bc698f4914f8f111,glesson_d0c6abcc416f408382b08b81f1e5aa2e,gelement_9b6895b1440a4f5ab2b9f427a8a27b58,1,Topic domain,在 + Topic/Domain + 上,Place the topic between 在 and 上.,Restricts the following statement to that area or issue.,approved,
gpattern_0c26f93a98d1465583c4f218f3cdaf33,glesson_d0c6abcc416f408382b08b81f1e5aa2e,gelement_7cd74f5ac3fb419b8dfc30a67eac5910,2,Governing condition,在 + Condition/Influence + 下,Place the condition or influence between 在 and 下.,Says the event occurs under that condition or influence.,approved,
gpattern_fde15bf28b54477bb7e98daa7b6904cc,glesson_d0c6abcc416f408382b08b81f1e5aa2e,gelement_76aae282899d46469c61262db491647f,3,Process or setting,在 + Process/Setting + 中,Place the ongoing process or setting between 在 and 中.,Locates an event within that process or setting.,approved,
gpattern_163b9693869549f58629a379989e289e,glesson_0b941a74e636424585d377b2f70b4b2e,,1,Predicate-like expression as subject,Action/Quality + Comment about it,Place the action or quality in subject position before the sentence's main comment.,Treats that action or quality as an abstract topic that can be evaluated.,approved,
gpattern_d058343e88904a289f80d392203281c3,glesson_931fa872891644ec9551798943541630,gelement_a6fd0086878b40b7a8349c0ed7a5949d,1,Situation as subject,[Inner Subject + Inner Predicate] + Main Predicate,Place the complete inner situation before the larger sentence's comment.,Lets the larger predicate evaluate or identify that whole situation.,approved,
gpattern_58de786995384eb68f48977dbf5a2c19,glesson_d2efb4f8c516443bb43d91df0e487452,gelement_994cfb57deeb48bb93dabc4d81dca5de,1,Layered noun description,Possessor + Demonstrative/Quantity + Description + Noun,Place broader identifying modifiers before quantity and more inherent descriptions.,Builds one noun phrase containing several kinds of information.,approved,
gpattern_07046a5e80e24d1380dcfae1acd87b77,glesson_f95efe2751dd4f9e8608c4eaa8b4e1e5,,1,Result after the verb,Verb + 到/住/走/上 (+ Object),Place the selected result complement immediately after the action verb.,States what outcome the action successfully produces.,approved,
gpattern_67b85f0e18e64c81a2afa0c7cd9228ca,glesson_33ffecba3284470ea135a85bbe5d5923,,1,Conventional result,Verb + 出/起/下 (+ Object),Attach the complement directly after the verb.,"Select the complement that conventionally expresses the intended detected, recalled, or retained result.",approved,
gpattern_45b0b97caac34841a8c2f67428d7038b,glesson_93490e12936e4c7eb4b0fe18d6f003ff,,1,Action onset,Verb + 上/起来,Place 上 or 起来 after the verb whose onset is being marked.,Presents the activity as newly begun rather than already ongoing.,approved,
gpattern_890e520d3a314f41bd27a6448e4f9195,glesson_81a16c159ed04f33baf215dbe272a1bf,,1,Maintained action,Verb + 下去/下来,Attach 下去 or 下来 to the verb being continued.,Select 下去 for continuation onward and 下来 for continuation viewed as maintained up to now or then.,approved,
gpattern_9912eb19bd9c4a168087954297a57b03,glesson_cf0bf06ae7914411a782069d00b08c85,,1,Possible or impossible result,Verb + 得/不 + Complement,Insert 得 for possibility or 不 for impossibility between the action and its complement.,Evaluates whether circumstances allow the complement's result to be reached.,approved,
gpattern_1e2021b95b5f45459f174045ff63fb2a,glesson_d55e66f484e44c9aa5ebbbf4fcded9b9,gelement_eb40f71e6bd146d3a007825638247bc4,1,High degree after an adjective,Adjective + 得很,Attach unstressed 得 and 很 after the adjective.,"Gives the adjective a strong, often conversational degree reading.",approved,
gpattern_6a218b98ae314c8ebcfe6e35388a439e,glesson_46b1065e58094ca989310f1e3283e1e7,,1,Extreme state,Adjective/Feeling verb + 极了/坏了,Place 极了 or 坏了 after the quality or feeling being intensified.,Presents the state as reaching an extreme degree.,approved,
gpattern_836b12d6fb91455fb7a4b8ae4a9dc013,glesson_a406d28084104510ad51f2f6d103ecc6,gelement_93afc2e09adb4532abff8559181740a1,1,Elapsed time after completion,Subject + Endpoint action + Duration + 了,Place the elapsed duration after the endpoint action and close with 了.,Measures from the action's completion up to the current reference point.,approved,
